BID,Suburb,Park_Name,Item_Type,Item_Description,Latitude,Longitude
782,EIGHT MILE PLAINS,JACARANDA PLACE PARK,TAP COMBINATION,TAP COMBINATION,-27.5763343,153.0823278
783,EIGHT MILE PLAINS,BUCKINGHAM PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5751316,153.0966012
784,EIGHT MILE PLAINS,KAOHSIUNG PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5834451,153.0804286
785,KURABY,WALLY TATE PARK,TAP COMBINATION,BUBBLER & TAP,-27.6042645,153.0925236
786,KURABY,WALLY TATE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5992459,153.0955731
787,KURABY,KING STREET PARK,TAP COMBINATION,BUBBLER & VANDAL PROOF TAP,-27.6038573,153.1019154
788,KURABY,KING STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.6034756,153.1023444
789,KURABY,SVOBODA PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.6053656,153.097922
790,KURABY,SVOBODA PARK,TAP COMBINATION,BUBBLER & TAP,-27.6056002,153.0975729
791,KURABY,SVOBODA PARK,TAP COMBINATION,BUBBLER & TAP,-27.6052947,153.0981195
792,MACGREGOR,WHIPBIRD PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5722178,153.0778922
793,MACGREGOR,D.M.HENDERSON PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.569476,153.0720472
794,MACGREGOR,DELFIN STREET PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5667696,153.0689229
795,RUNCORN,HOLLYMAN PARK,TAP COMBINATION,BUBBLER & TAP,-27.588868,153.0725092
796,RUNCORN,JUDITH COURT PARK,TAP COMBINATION,BUBBLER & TAP,-27.5932225,153.0791998
797,SUNNYBANK,LES ATKINSON PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5853696,153.057248
